"Group","Spread MAE","Spread Rank","Total MAE","Total Rank","OREB MAE","OREB Rank"
"1",11.5982142857143,7,15.1428571428571,6,4.73214285714286,2
"2",11.721754502372,8,14.4166954585484,3,5.25892857142857,10
"3",12.0542971257143,10,15.1624291964286,7,4.66100539482143,1
"4",12.9978571428571,14,15.5683928571429,10,5.67732142857143,12
"5",11.0778413369733,2,13.988320794572,1,4.95020891172772,7
"6",12.2696121853482,12,15.5114882321429,9,4.8078575268563,5
"7",11.0293680157906,1,14.0933537535931,2,4.77584807118686,4
"8",11.3605955356071,5,15.5904330366071,11,4.98897360214286,8
"9",11.1744642857143,4,14.9540178571429,5,8.16107142857143,15
"10",12.4806175248482,13,19.4348664705357,13,6.50308820053571,14
"11",11.9101571774286,9,20.17648370625,14,4.94582825991071,6
"12",NA,15,15.2321428571429,8,4.76785714285714,3
"13",11.504876348666,6,14.6819395794643,4,5.48114306633929,11
"14",11.125,3,21.0625,15,5.02678571428571,9
"CV",12.1160714285714,11,16.4642857142857,12,5.6875,13
