"Date","Home","Away","Actual","group1","group2","group3","group4","group5","group6","group7","group8","group9","group10","group11","group12","group13","group14"
"11/8/2021","Pittsburg Steelers","Chicago Bears",1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"11/11/2021","Miami Dolphins ","Baltimore Ravens",1,0,0,0,NA,0,0,1,0,0,1,0,0,0,1
"11/14/2021","Dallas Cowboys","Atlanta Falcons ",1,1,1,1,NA,1,1,0,1,1,1,1,1,1,1
"11/14/2021","Tennessee Titans ","New Orleans Saints",1,1,0,0,NA,1,1,0,0,1,0,1,1,0,0
"11/14/2021","Indianapolis Colts","Jacksonville Jaguars ",1,1,1,1,NA,1,1,0,1,1,0,1,1,1,1
"11/14/2021","New England Patriots","Cleveland Browns",1,1,0,1,NA,0,1,1,1,1,0,0,1,0,1
"11/14/2021","New York Jets","Buffalo Bills",0,0,0,0,NA,1,0,1,0,0,1,0,0,1,0
"11/14/2021","Pittsburg Steelers","Detroit Lions",0,1,1,1,NA,1,1,0,1,1,1,1,1,1,1
"11/14/2021","Washington Football Team ","Tampa Bay Buccaneers",1,0,0,0,NA,0,1,1,0,0,1,0,0,1,1
"11/14/2021","Arizona Cardinals ","Carolina Panthers",0,1,1,0,NA,1,1,0,0,1,1,1,1,0,1
"11/14/2021","Los Angeles Chargers","Minnesota Vikings ",0,1,0,0,NA,1,0,0,0,1,1,0,1,0,1
"11/14/2021","Denver Broncos ","Philadelphia Eages",0,0,1,1,NA,1,1,0,0,1,0,0,1,0,0
"11/14/2021","Green Bay Packers","Seattle Seahawks ",1,1,1,1,NA,1,1,0,1,1,1,0,1,1,0
"11/14/2021","Las Vegas Raiders","Kansas City Chiefs",0,0,0,0,NA,0,1,0,0,0,1,0,0,0,1
"11/15/2021","San Francisco 49ers","Los Angeles Rams",1,0,0,0,NA,0,1,1,1,0,0,0,0,0,0
"11/18/2021","Atlanta Falcons","New England Patriots",0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0
"11/21/2021","Buffalo Bills","Indianapolis Colts",0,1,1,0,NA,1,1,0,0,1,1,0,1,0,1
"11/21/2021","Chicago Bears","Baltimore Ravens",0,0,0,0,NA,0,1,1,0,0,1,0,0,1,1
"11/21/2021","Cleveland Browns","Detroit Lions",1,1,1,0,NA,1,1,0,0,1,1,1,1,1,1
"11/21/2021","Tennessee Titans ","Houston Texans",0,1,1,1,NA,1,1,0,1,1,1,1,1,0,0
"11/21/2021","Minnesota Vikings","Green Bay Packers",1,0,0,1,NA,1,1,1,0,0,1,0,0,0,0
"11/21/2021","New York Jets","Miami Dolphins",0,0,0,0,NA,0,0,1,0,0,1,1,0,0,0
"11/21/2021","Philadelphia Eagles","New Orleans Saints",1,0,0,0,NA,0,1,1,0,0,1,1,0,1,0
"11/21/2021","Carolina Panthers","Washington Football Team",0,0,1,0,NA,1,1,1,1,1,1,1,1,1,1
"11/21/2021","Jacksonsville Jaguars","San Francisco 49ers",0,0,0,1,NA,0,1,1,0,0,1,0,0,1,0
"11/21/2021","Las Vegas Raiders","Cincinnati Bengals",0,0,1,1,NA,1,1,1,1,0,0,0,0,0,0
"11/21/2021","Kansas City Chiefs","Dallas Cowboys",1,0,1,0,NA,0,0,1,1,0,1,0,1,1,1
"11/21/2021","Seattle Seahawks","Arizona Cardinals ",0,0,0,1,NA,0,0,1,1,0,0,0,0,0,0
"11/21/2021","Los Angeles Chargers","Pittsburg Steelers",1,1,0,0,NA,1,1,1,0,0,1,1,1,1,1
"11/22/2021","Tampa Bay Buccaneers ","New York Giants",1,1,1,1,NA,1,1,0,1,1,1,1,1,1,1
"11/25/2021","Detriot Lions ","Chicago Bears",0,1,0,0,NA,0,1,1,0,0,1,1,0,1,0
"11/25/2021","Dallas Cowboys","Las Vegas Raiders ",0,1,0,0,NA,1,1,0,1,1,1,1,1,0,0
"11/25/2021","New Orleans Saints","Buffalo Bills",0,0,0,1,NA,0,0,0,1,0,1,0,0,1,0
"11/28/2021","Cincinnati Begals ","Pittsburg Steelers",1,1,0,1,NA,1,1,0,0,1,1,1,1,0,1
"11/28/2021","Indianapolis Colts","Tampa Bay Buccaneers",0,0,0,0,NA,0,0,1,1,0,1,0,0,0,1
"11/28/2021","Miami Dolphins ","Carolina Panthers",1,0,0,0,NA,0,1,0,0,0,1,1,0,1,0
"11/28/2021","New England Patriots","Tennessee Titans",1,0,0,1,NA,0,1,1,1,0,1,1,0,1,1
"11/28/2021","New York Giants","Philadelphia Eages",1,0,0,0,NA,0,1,0,0,0,0,0,0,0,0
"11/28/2021","Jacksonsville Jaguars","Atlanta Falcons ",0,0,0,0,NA,0,1,1,0,0,1,1,0,0,1
"11/28/2021","Houston Texans","New York Jets",0,0,0,1,NA,0,1,1,1,0,0,1,0,1,1
"11/28/2021","Denver Broncos ","Los Angeles Chargers",1,0,0,1,NA,0,0,1,0,1,1,1,0,0,0
"11/28/2021","Green Bay Packers","Los Angeles Rams",NA,0,1,0,NA,0,1,1,1,0,1,0,0,1,0
"11/28/2021","San Francisco 49ers","Minnesota Vikings ",NA,1,0,0,NA,0,0,1,0,0,1,0,1,0,1
"11/28/2021","Baltimore Ravens","Cleveland Browns",NA,1,1,1,NA,1,1,0,1,1,1,0,1,0,1
"11/29/2021","Washington Football Team ","Seattle Seahawks ",NA,0,0,0,NA,0,1,1,0,0,0,0,0,0,0
